flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,4095,2926,4095,4095,1.63,0.60,0.32,-0.23,-0.23,bien
4095,4095,2938,4095,4095,9.10,3.33,1.07,0.20,-0.72,bien
4095,4095,2964,4095,4095,9.17,4.25,-0.42,0.36,-0.67,bien
4095,4095,2987,4095,4095,8.80,5.00,-1.20,0.23,-0.67,bien
4095,4095,2989,4095,4095,8.65,5.49,-2.38,-0.01,-0.59,bien
4095,4095,2983,4095,4095,8.67,5.56,-2.89,0.06,-0.55,bien
4095,4095,2996,4095,4095,7.70,4.41,-2.41,0.17,-0.81,bien
4095,4095,3009,4095,4095,7.27,4.85,-3.61,0.05,-1.00,bien
4095,4095,2992,4095,4095,6.85,4.88,-4.21,0.04,-0.87,bien
4095,4095,2997,4095,4095,6.40,6.28,-6.27,0.11,-0.65,bien
4095,4095,2993,4095,4095,6.24,6.48,-6.99,-0.40,-0.19,bien
4095,4095,2992,4095,4095,6.04,5.94,-6.26,-0.17,-0.02,bien
4095,4095,2987,4095,4095,5.84,5.83,-6.05,0.07,-0.05,bien
4095,4095,2990,4095,4095,5.87,5.98,-6.27,-0.02,-0.05,bien
4095,4095,2985,4095,4095,5.80,5.46,-5.80,-0.04,-0.02,bien

4095,4095,3003,4095,4095,1.70,0.58,0.30,0.03,-0.05,bien
4095,4095,3057,4095,4095,9.44,2.77,2.46,-0.22,-0.20,bien
4095,4095,3056,4095,4095,9.18,3.36,1.50,-0.16,-0.67,bien
4095,4095,3054,4095,4095,9.21,4.50,-0.60,0.05,-0.97,bien
4095,4095,3051,4095,4095,9.15,5.33,-2.21,0.00,-0.83,bien
4095,4095,3021,4095,4095,8.97,5.15,-2.49,-0.12,-0.67,bien
4095,4095,3043,4095,4095,8.72,5.32,-3.30,0.27,-0.69,bien
4095,4095,3008,4095,4095,8.26,5.76,-3.66,0.77,-0.85,bien
4095,4095,3046,4095,4095,7.84,5.36,-3.77,0.10,-0.61,bien
4095,4095,3041,4095,4095,7.43,5.11,-3.47,-0.14,-0.54,bien
4095,4095,3055,4095,4095,7.14,5.86,-4.36,-0.02,-0.59,bien
