flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
3994,3346,3392,3295,3140,1.27,-0.43,0.22,1.40,0.07,escuela
4039,3374,3377,3313,3138,4.41,0.38,-1.37,2.23,-0.25,escuela
4048,3383,3344,3280,3134,4.84,7.81,-1.33,1.74,-0.16,escuela
4038,3367,3346,3280,3137,7.88,9.45,0.27,1.15,-0.95,escuela
4048,3344,3313,3280,3136,10.81,9.45,-2.26,-0.55,-1.08,escuela
4048,3323,3280,3281,3123,12.44,8.09,-2.80,-1.05,-0.14,escuela
4031,3327,3310,3307,3149,10.75,2.50,0.12,-1.08,0.81,escuela
4037,3365,3337,3323,3167,9.22,0.71,1.25,-1.22,0.98,escuela
4035,3373,3344,3321,3183,8.18,1.57,1.59,-0.32,0.46,escuela
4048,3377,3351,3331,3181,8.33,2.40,1.87,0.19,-0.17,escuela
4047,3380,3343,3332,3174,9.82,3.50,1.52,-0.24,-0.16,escuela
4038,3385,3340,3335,3178,9.84,2.90,1.58,-0.10,-0.02,escuela
4045,3386,3344,3342,3184,9.68,2.88,1.82,-0.07,-0.06,escuela
4047,3379,3339,3338,3184,9.69,2.92,1.58,-0.05,-0.08,escuela
4042,3379,3342,3339,3193,9.62,2.62,1.77,-0.06,-0.05,escuela

4007,3464,3378,3871,3280,1.44,-0.50,0.32,1.29,-0.15,escuela
4019,3470,3365,3881,3323,6.95,1.09,-0.18,1.49,-0.30,escuela
4026,3487,3393,3863,3318,6.36,4.48,-0.19,1.19,-0.19,escuela
4030,3488,3407,3872,3311,6.57,6.27,-0.36,1.01,-0.38,escuela
4019,3487,3376,3882,3285,8.47,8.10,-0.70,0.78,-0.88,escuela
4025,3474,3375,3889,3287,8.84,7.48,-2.81,0.50,-1.32,escuela
4038,3474,3370,3835,3281,10.51,7.29,-4.37,-0.20,-1.24,escuela
4037,3463,3370,3867,3263,11.45,6.36,-4.33,-0.71,-0.44,escuela
4042,3443,3392,3919,3280,12.04,4.01,-2.60,-0.92,0.62,escuela
4036,3427,3386,3983,3299,10.52,2.61,-2.02,-0.93,1.49,escuela
4031,3428,3408,4042,3295,8.93,0.87,1.42,-0.82,1.44,escuela
4027,3441,3422,4055,3305,7.52,1.53,1.32,-0.11,0.57,escuela
4023,3434,3409,4063,3291,8.98,3.05,1.41,0.41,-0.10,escuela
4029,3441,3394,4060,3296,9.79,2.62,1.68,0.24,-0.11,escuela
4021,3444,3403,4067,3290,9.85,2.67,1.63,0.22,-0.13,escuela

3896,3165,3277,3443,3097,1.90,-0.64,0.56,0.32,-0.05,escuela
3905,3197,3266,3453,3100,8.33,-3.60,0.90,1.42,-0.28,escuela
3919,3250,3248,3447,3062,5.96,2.03,-1.11,1.82,-0.04,escuela
3919,3267,3231,3440,3115,6.15,6.26,-0.61,1.48,-0.23,escuela
3936,3248,3221,3421,3120,8.36,6.44,0.85,1.36,-0.69,escuela
3952,3261,3215,3407,3111,9.61,8.26,-0.30,0.58,-0.99,escuela
3939,3267,3216,3420,3152,10.27,7.33,-0.77,-0.39,-0.52,escuela
3939,3261,3241,3466,3264,10.43,5.03,-1.04,-0.86,-0.20,escuela
3969,3246,3275,3598,3186,11.23,3.50,0.19,-1.28,0.00,escuela
3968,3248,3330,3607,3162,12.55,2.92,-0.55,-1.74,0.82,escuela
3967,3242,3344,3696,3248,10.38,-0.21,1.69,-0.97,1.25,escuela
3958,3280,3321,3759,3141,7.79,0.49,2.62,-0.09,0.66,escuela
3975,3264,3317,3772,3163,7.61,2.35,3.35,0.10,0.15,escuela
3975,3267,3324,3759,3182,9.42,2.22,2.57,0.16,-0.25,escuela
3969,3248,3312,3751,3185,9.59,2.04,3.31,0.13,-0.06,escuela

3849,3164,3396,2910,2704,1.38,-0.22,-0.06,2.08,-0.43,escuela
3870,3175,3408,2915,2705,6.62,3.23,-0.05,1.51,-0.50,escuela
3877,3158,3329,2933,2731,9.14,4.00,0.93,1.48,-0.60,escuela
3881,3205,3344,2934,2742,9.56,5.75,-0.23,0.68,-0.51,escuela
3859,3203,3319,2963,2727,9.03,5.00,-0.02,-0.08,-0.47,escuela
3882,3249,3344,2960,2741,11.24,5.71,-0.12,0.03,-0.39,escuela
3891,3298,3330,3017,2745,12.94,4.83,0.71,-1.74,0.56,escuela
3909,3325,3289,3043,2819,11.88,1.26,0.06,-2.21,1.30,escuela
3905,3335,3296,3103,2832,9.75,0.11,2.63,-2.01,1.32,escuela
3902,3349,3285,3105,2850,7.21,-2.78,2.58,-0.31,0.58,escuela
3903,3366,3283,3127,2869,7.44,1.06,3.21,0.16,-0.08,escuela
3907,3347,3295,3146,2886,9.86,0.82,4.27,0.13,-0.22,escuela
3898,3357,3284,3141,2877,9.78,1.11,3.56,0.01,-0.10,escuela
3920,3326,3286,3135,2899,9.51,0.78,3.50,-0.19,-0.09,escuela
3911,3346,3283,3130,2889,9.62,0.27,3.53,-0.16,-0.05,escuela

3997,3536,3375,3520,3071,1.17,0.33,0.27,1.16,-0.21,escuela
4006,3537,3382,3500,3063,7.20,3.43,1.22,1.13,-0.66,escuela
4009,3547,3374,3520,3086,8.77,3.67,1.23,0.88,-0.67,escuela
4007,3543,3373,3522,3082,9.34,5.69,-0.26,0.29,-0.86,escuela
4004,3548,3344,3499,3097,10.45,5.86,-0.90,-0.31,-0.62,escuela
