flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,4095,3120,3583,3477,1.45,-0.39,0.98,0.50,-0.20,hola
4095,4095,3085,3601,3504,8.39,-1.29,5.35,0.70,-0.33,hola
4095,4095,3088,3610,3463,8.49,0.57,4.68,0.71,-0.31,hola
4095,4095,3024,3617,3439,8.86,1.18,4.53,0.97,-0.26,hola
4095,4095,2864,3612,3470,8.22,2.99,3.74,0.71,-0.49,hola
4095,4095,2822,3601,3493,8.47,5.24,2.73,0.71,-0.35,hola
4095,4095,2825,3616,3495,7.78,5.13,2.72,0.53,-0.29,hola
4095,4095,2816,3610,3538,7.45,6.17,1.67,0.73,-0.35,hola
4095,4095,2819,3607,3547,6.93,6.70,1.41,0.65,-0.24,hola
4095,4095,2806,3613,3563,6.13,8.06,0.64,0.65,-0.18,hola
4095,4095,2777,3609,3630,6.16,8.08,-0.08,0.18,-0.16,hola
4095,4095,2768,3618,3622,5.77,8.43,0.40,0.41,-0.06,hola
4095,4095,2767,3631,3670,5.30,8.65,-0.35,0.35,-0.06,hola
4095,4095,2768,3621,3619,5.13,8.70,-0.54,0.38,-0.07,hola
4095,4095,2772,3620,3655,4.88,9.15,-1.40,0.48,-0.01,hola

4095,4095,3021,3719,3457,1.53,-0.41,0.77,0.89,-0.30,hola
4095,4095,2979,3725,3455,8.74,-1.50,4.10,1.26,-0.18,hola
4095,4095,2959,3741,3399,8.42,1.55,4.60,1.14,-0.25,hola
4095,4095,2917,3728,3407,8.33,3.59,3.88,1.06,-0.42,hola
4095,4095,2898,3730,3391,8.53,4.71,3.14,1.19,-0.46,hola
4095,4095,2883,3721,3439,7.84,5.26,2.30,1.01,-0.50,hola
4095,4095,2875,3719,3507,7.92,6.30,1.11,0.64,-0.36,hola
4095,4095,2867,3723,3536,7.24,5.50,1.21,0.95,-0.32,hola
4095,4095,2879,3717,3451,6.70,6.77,0.79,0.99,-0.34,hola
4095,4095,2880,3730,3433,6.69,8.23,-0.61,0.55,-0.26,hola
4095,4095,2877,3724,3422,6.13,8.14,-0.75,0.34,-0.04,hola
4095,4095,2867,3728,3417,5.84,7.96,-1.39,0.15,-0.06,hola
4095,4095,2867,3729,3533,5.87,7.36,-0.92,-0.07,-0.05,hola
4095,4095,2874,3741,3447,5.85,7.63,-1.34,-0.00,-0.02,hola
4095,4095,2878,3741,3435,5.77,7.59,-1.16,0.03,0.03,hola

4095,4095,3472,3602,3059,1.37,-0.34,0.66,2.17,-0.33,hola
4095,4095,3388,3606,3127,7.63,2.99,4.42,2.28,-0.29,hola
4095,4095,3386,3664,3226,8.57,3.83,4.45,1.48,-0.28,hola
4095,4095,3337,3684,3239,7.99,5.49,3.75,1.25,-0.23,hola
4095,4095,3258,3685,3191,6.87,6.22,2.18,0.82,-0.25,hola
4095,4095,3195,3681,3171,6.03,8.16,1.17,0.92,-0.14,hola
4095,4095,3083,3697,3126,5.35,9.40,0.19,0.04,-0.00,hola
4095,4095,2885,3686,3056,5.30,8.55,1.09,0.09,0.05,hola
4095,4095,2851,3671,3034,4.74,8.84,0.63,-0.10,-0.00,hola
4095,4095,2826,3664,2980,4.71,8.43,0.44,-0.10,0.01,hola
4095,4095,2823,3665,2978,4.54,8.45,0.56,-0.04,-0.01,hola
4095,4095,2823,3679,2977,4.57,8.22,0.45,0.06,0.03,hola
4095,4095,2819,3669,2962,4.52,8.39,0.26,0.03,0.01,hola
4095,4095,2817,3691,2960,4.60,8.08,0.56,0.02,0.04,hola
4095,4095,2817,3696,2957,4.52,8.04,0.41,0.06,0.03,hola

4095,4095,3469,3825,3066,1.47,-0.49,0.90,-0.02,-0.15,hola
4095,4095,3472,3792,3059,8.54,-2.69,5.26,-0.18,-0.14,hola
4095,4095,3471,3787,3055,8.31,-3.14,4.77,-0.06,-0.16,hola
4095,4095,3456,3807,3071,8.21,-4.49,5.29,0.59,-0.12,hola
4095,4095,3440,3803,3111,7.75,-1.54,4.81,2.10,-0.35,hola
4095,4095,3423,3767,3144,8.09,1.90,4.17,1.80,-0.49,hola
