flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,4095,2861,4095,4095,1.36,-0.01,1.16,0.96,1.52,mal
4095,4095,2924,4095,4095,5.84,2.27,5.88,0.82,2.24,mal
4095,4095,2897,4095,4095,4.72,1.15,8.64,0.05,1.60,mal
4095,4095,2855,4095,4095,3.39,2.62,8.64,0.12,1.99,mal
4095,4095,2799,4095,4095,1.15,2.46,9.56,0.03,1.55,mal
4095,3949,2714,4095,4095,-0.40,2.19,9.86,-0.07,1.12,mal
4095,3568,2540,4058,4095,-1.18,1.98,10.04,-0.28,0.60,mal
4095,3258,2437,3886,4095,-1.34,2.56,9.47,-0.09,0.25,mal
4095,3154,2448,3775,4095,-1.56,2.56,9.45,0.00,-0.03,mal
4095,3176,2453,3797,4095,-1.35,2.01,9.62,0.02,-0.09,mal
4095,3175,2460,3888,4095,-1.32,1.72,9.57,-0.07,-0.04,mal
4095,3165,2448,3865,4095,-1.37,1.92,9.52,-0.02,-0.01,mal
4095,3181,2469,3887,4095,-1.25,1.78,9.54,0.01,-0.03,mal
4095,3197,2495,3915,4095,-1.44,1.61,9.71,-0.07,-0.14,mal
4095,3247,2603,3934,4095,-1.43,1.61,9.87,-0.19,-0.44,mal

4095,4095,2755,4095,4095,1.52,0.23,1.01,-0.06,0.21,mal
4095,4095,2774,4095,4095,8.06,1.10,5.52,-0.12,0.67,mal
4095,4095,2827,4095,4095,7.02,1.42,6.56,-0.19,1.14,mal
4095,4095,2831,4095,4095,6.54,0.57,6.82,0.01,1.36,mal
4095,4095,2886,4095,4095,6.56,0.49,8.10,0.27,1.52,mal
4095,4095,2960,4095,4095,4.35,1.36,9.08,-0.11,1.60,mal
4095,4095,2917,4095,4095,3.35,1.26,9.72,0.17,0.89,mal
4095,4095,2849,4095,4095,2.36,1.06,9.88,0.07,0.80,mal
4095,4095,2795,4095,4095,1.52,1.44,10.03,0.01,0.82,mal
4095,3821,2769,4095,4095,0.60,1.84,9.67,-0.11,0.84,mal
4095,3737,2791,4095,4095,-0.11,1.68,9.91,0.01,0.44,mal
4095,3678,2783,4095,4095,-0.32,1.56,9.80,-0.02,0.14,mal
4095,3617,2770,4095,4095,-0.42,1.41,9.60,-0.05,0.13,mal
4095,3554,2767,4095,4095,-0.49,1.44,9.76,-0.07,0.06,mal
4095,3527,2736,4095,4095,-0.27,1.61,9.64,-0.07,0.04,mal

4095,4095,2706,4095,4095,1.74,-0.04,0.71,0.03,-0.00,mal
4095,4095,2736,4095,4095,9.45,0.23,3.65,0.42,0.53,mal
4095,4095,2789,4095,4095,8.76,0.07,5.04,0.87,1.18,mal
4095,4095,2837,4095,4095,7.15,0.57,6.25,-0.16,1.55,mal
4095,4095,2866,4095,4095,7.04,0.52,8.00,0.10,1.50,mal
4095,4095,2950,4095,4095,5.42,0.57,7.57,0.99,1.65,mal
4095,4095,3012,4095,4095,3.22,1.07,9.53,0.26,1.75,mal
4095,4095,2905,4095,4095,0.68,1.15,10.16,0.47,1.47,mal
4095,3877,2781,4095,4095,-0.39,1.99,10.14,0.03,0.54,mal
4095,3689,2759,4095,4095,0.36,2.33,9.94,0.03,0.06,mal
4095,3709,2793,4095,4095,0.24,1.79,9.82,-0.01,0.05,mal
4095,3824,2789,4095,4095,0.13,2.05,9.56,-0.07,0.05,mal
4095,3940,2798,4095,4095,0.28,2.22,9.52,0.09,0.09,mal
4095,3974,2800,4095,4095,-0.11,2.11,9.74,0.05,0.12,mal
4095,4004,2815,4095,4095,-0.03,1.89,9.72,-0.01,-0.00,mal

4095,4095,2786,4095,4095,1.65,0.15,0.90,0.02,0.37,mal
4095,4095,2843,4095,4095,8.42,0.95,6.21,-0.06,1.03,mal
4095,4095,2865,4095,4095,7.85,0.68,7.52,-0.00,0.79,mal
4095,4095,2886,4095,4095,6.37,1.43,6.59,0.06,1.24,mal
4095,4095,2879,4095,4095,5.96,0.64,8.44,-0.05,0.74,mal
4095,4095,2892,4095,4095,5.38,1.14,8.72,0.12,0.49,mal
4095,4095,2896,4095,4095,4.75,1.07,8.69,0.01,0.58,mal
4095,4095,2898,4095,4095,4.50,0.81,8.61,0.04,0.94,mal
4095,4095,2896,4095,4095,4.66,0.89,9.01,0.58,1.96,mal
4095,4095,2963,4095,4095,-0.14,1.39,10.01,0.20,1.14,mal
4095,4095,2931,4095,4095,-0.22,2.19,10.37,0.25,0.70,mal
4095,4095,2900,4095,4095,-0.92,1.74,10.06,0.02,0.10,mal
4095,4095,2907,4095,4095,-0.84,1.50,9.66,0.06,0.21,mal
4095,4095,2911,4095,4095,-1.06,1.82,9.77,-0.01,0.10,mal
4095,4095,2910,4095,4095,-1.04,1.74,9.68,-0.10,-0.03,mal

4095,4095,2714,4095,4095,1.63,0.20,0.92,-0.16,-0.02,mal
4095,4095,2717,4095,4095,8.60,0.96,4.59,-0.09,0.36,mal
4095,4095,2795,4095,4095,7.87,0.76,4.74,0.03,0.78,mal
4095,4095,2802,4095,4095,7.58,0.82,5.43,0.19,0.67,mal
4095,4095,2805,4095,4095,6.69,1.28,5.74,-0.08,0.79,mal
4095,4095,2815,4095,4095,6.25,1.30,6.31,0.03,0.80,mal
4095,4095,2833,4095,4095,6.18,1.18,7.25,0.00,0.59,mal
4095,4095,2862,4095,4095,6.29,1.00,7.56,0.05,0.60,mal
4095,4095,2869,4095,4095,5.90,1.08,7.92,0.09,0.76,mal
4095,4095,2854,4095,4095,5.27,1.23,8.50,0.09,0.45,mal
4095,4095,2855,4095,4095,4.95,1.49,8.58,0.07,0.70,mal
4095,4095,2832,4095,4095,4.24,1.85,8.84,-0.07,0.67,mal
4095,4095,2769,4095,4095,4.72,1.33,9.31,0.34,1.25,mal
4095,4095,2813,4095,4095,2.44,2.01,9.47,0.26,0.94,mal
4095,4095,2817,4095,4095,1.70,1.76,9.68,0.21,0.84,mal

4095,4095,2815,4095,4095,1.59,0.09,0.85,0.18,0.33,mal
4095,4095,2848,4095,4095,8.74,0.52,5.51,0.07,0.25,mal
4095,4095,2864,4095,4095,8.39,0.79,4.76,0.17,0.37,mal
4095,4095,2864,4095,4095,8.44,0.17,5.15,0.08,0.64,mal
4095,4095,2891,4095,4095,7.98,0.43,6.37,0.01,0.65,mal
4095,4095,2926,4095,4095,7.25,0.53,6.30,0.26,1.01,mal
4095,4095,2964,4095,4095,7.10,1.04,7.09,0.22,0.66,mal
4095,4095,3012,4095,4095,6.32,1.07,7.74,0.14,0.67,mal
4095,4095,3039,4095,4095,6.17,1.15,7.58,0.05,0.88,mal
4095,4095,3005,4095,4095,5.76,0.92,8.34,0.00,0.87,mal
4095,4095,2969,4095,4095,4.79,0.92,8.83,0.14,0.92,mal
4095,4095,2976,4095,4095,3.79,1.05,9.00,-0.01,0.99,mal
4095,4095,2947,4095,4095,3.27,1.11,9.78,0.13,1.10,mal
4095,3763,3027,4095,4095,1.47,1.14,10.13,0.11,0.83,mal
4095,3580,2883,4095,4095,1.24,1.44,9.83,0.19,0.62,mal

4095,4095,2790,4095,4095,1.56,0.14,1.02,0.14,0.34,mal
4095,4095,2814,4095,4095,9.03,1.38,5.32,-0.00,0.42,mal
4095,4095,2839,4095,4095,8.59,0.97,6.86,-0.08,0.40,mal
4095,4095,2832,4095,4095,8.90,1.07,6.87,0.07,0.39,mal
4095,4095,2882,4095,4095,7.91,1.27,7.46,0.01,0.40,mal
4095,4095,2896,4095,4095,7.65,0.67,7.52,-0.04,0.27,mal
4095,4095,2885,4095,4095,7.23,0.61,7.78,0.13,0.57,mal
4095,4095,2903,4095,4095,6.14,1.20,7.62,0.08,1.08,mal
4095,4095,2873,4095,4095,5.01,0.77,8.74,-0.00,0.93,mal
4095,4063,2800,4095,4095,4.29,0.52,9.42,0.16,0.84,mal
4095,3675,2685,4095,4095,3.51,1.00,9.46,0.21,0.60,mal
4095,3449,2597,4095,4095,3.01,1.13,9.74,0.11,0.60,mal
4095,3277,2517,4095,4095,2.13,1.42,9.58,0.11,0.53,mal
4095,3217,2491,4095,4095,2.05,1.71,9.72,0.02,0.14,mal
4095,3211,2474,4095,4095,2.11,1.73,9.76,-0.03,0.03,mal

4095,4095,2768,4095,4095,1.60,0.08,0.83,0.12,0.36,mal
4095,4095,2832,4095,4095,8.61,0.68,5.10,0.11,0.70,mal
4095,4095,2885,4095,4095,7.99,0.79,5.07,0.50,0.95,mal
4095,4095,2893,4095,4095,7.59,0.42,6.03,0.07,0.48,mal
4095,4095,2902,4095,4095,8.02,0.98,5.99,-0.00,0.67,mal
4095,4095,2922,4095,4095,7.27,0.73,6.78,0.11,0.97,mal
4095,4095,2941,4095,4095,6.48,0.52,7.74,0.04,0.47,mal
4095,4095,2900,4095,4095,6.39,0.40,7.94,0.04,0.47,mal
4095,4095,2885,4095,4095,5.80,0.60,8.07,0.03,0.78,mal
4095,4095,2842,4095,4095,4.81,0.47,8.61,0.05,0.70,mal
4095,4095,2801,4095,4095,4.53,0.55,9.12,0.17,0.74,mal
4095,3739,2704,4095,4095,3.61,0.65,9.20,0.14,0.92,mal
4095,3410,2647,4095,4095,3.20,1.04,9.46,0.12,0.71,mal
4095,3293,2559,4095,4095,2.51,1.30,9.75,0.07,0.40,mal
4095,3234,2530,4062,4095,2.34,1.35,9.64,0.03,0.17,mal

4095,4095,2797,4095,4095,1.71,0.13,0.78,0.00,0.31,mal
4095,4095,2809,4095,4095,9.00,0.45,4.85,0.04,0.34,mal
4095,4095,2825,4095,4095,9.03,0.55,5.59,-0.12,0.29,mal
4095,4095,2822,4095,4095,8.78,0.74,5.83,-0.00,0.18,mal
4095,4095,2818,4095,4095,9.04,1.02,5.97,-0.04,0.40,mal
4095,4095,2896,4095,4095,7.42,0.50,6.34,-0.28,0.79,mal
4095,4095,2928,4095,4095,7.55,0.10,7.16,0.19,0.56,mal
4095,4095,2928,4095,4095,6.91,0.19,8.09,0.17,0.43,mal
4095,4095,2947,4095,4095,6.03,0.15,7.99,0.09,0.78,mal
4095,4095,3003,4095,4095,5.21,-0.12,8.74,0.22,0.70,mal
4095,4095,3008,4095,4095,4.71,0.24,8.78,0.24,0.96,mal
4095,4095,2977,4095,4095,3.62,0.49,9.47,0.18,0.75,mal
4095,4095,2939,4095,4095,3.28,0.67,9.01,0.20,0.87,mal
4095,4095,2925,4095,4095,2.52,0.97,9.74,0.15,0.67,mal
4095,4095,2894,4095,4095,2.15,0.97,9.82,0.16,0.39,mal

4095,4095,2957,4095,4095,1.35,0.25,0.79,0.77,1.56,mal
4095,4095,3039,4095,4095,7.17,-0.81,6.96,-0.11,0.93,mal
4095,4095,3020,4095,4095,7.11,-0.10,6.91,-0.17,0.61,mal
4095,4095,2994,4095,4095,7.07,0.44,7.12,0.04,0.58,mal
4095,4095,2960,4095,4095,6.95,-0.03,7.78,0.09,0.58,mal
4095,4095,2977,4095,4095,5.99,0.10,8.21,0.06,0.55,mal
4095,4095,2916,4095,4095,5.73,0.29,8.39,0.11,0.42,mal
4095,3839,2865,4095,4095,5.63,0.07,8.67,0.08,0.48,mal
4095,3575,2737,4095,4095,4.91,0.22,8.85,0.08,0.53,mal
4095,3117,2666,3979,4095,4.57,0.54,9.08,0.02,0.48,mal
4079,3056,2615,3827,4095,4.21,0.50,8.93,0.13,0.57,mal
4001,3029,2559,3730,3951,3.71,0.84,9.31,0.10,0.39,mal
3916,2990,2534,3550,3712,3.44,0.86,9.57,0.02,0.13,mal
3868,2994,2512,3550,3728,3.24,0.56,9.41,0.01,0.14,mal
3923,3029,2494,3554,3726,3.08,0.75,9.52,-0.03,0.12,mal

4095,4095,3137,4095,4095,1.73,-0.37,0.56,0.11,0.09,mal
4095,4095,3127,4095,4095,9.34,-1.96,3.40,0.10,0.03,mal
4095,4095,3104,4095,4095,9.42,-1.97,3.29,0.20,0.25,mal
4095,4095,3087,4095,4059,9.34,-2.21,4.31,-0.04,0.19,mal
4095,4095,3090,4095,4050,9.29,-2.20,3.34,0.93,0.81,mal
4095,4095,3125,4095,4095,8.32,-2.60,5.59,0.21,0.97,mal
4095,4095,3150,4095,4095,7.17,-1.99,6.29,0.28,0.84,mal
4095,4095,3102,4095,4095,7.09,-1.96,6.84,0.10,0.29,mal
4095,4095,3027,4095,4095,7.29,-2.22,6.97,0.22,0.59,mal
4095,4095,2994,4095,4095,6.29,-2.22,7.47,0.26,0.74,mal
4095,4095,2901,4095,4095,5.57,-2.47,8.69,-0.00,0.64,mal
4095,3504,2647,3807,4095,5.07,-2.10,8.71,0.28,0.74,mal
4095,3194,2608,3873,4095,4.69,-2.06,8.98,0.03,0.34,mal
3954,3008,2539,3785,4095,4.14,-2.13,9.13,-0.05,0.20,mal
3899,2832,2512,3626,4095,4.06,-1.92,9.09,-0.09,0.14,mal

4095,4095,3169,4095,4095,1.73,-0.40,0.55,0.31,0.17,mal
4095,4095,3152,4095,4038,9.26,-2.04,3.70,0.22,0.21,mal
4095,4095,3104,4095,4049,9.41,-1.97,3.64,0.07,0.27,mal
4095,4095,3088,4095,4090,8.60,-2.26,4.39,0.31,0.53,mal
4095,4095,3088,4095,4095,8.45,-2.53,4.53,0.17,0.71,mal
4095,4095,3056,4095,4095,8.30,-2.47,5.09,-0.05,0.69,mal
4095,4095,3033,4095,4095,7.84,-2.52,5.46,0.10,0.72,mal
4095,4095,3019,4095,4095,7.55,-2.10,6.13,-0.04,0.73,mal
4095,4095,3002,4095,4095,7.07,-2.17,6.60,-0.07,0.77,mal
4095,4095,2961,4095,4095,6.55,-2.42,7.13,0.08,0.76,mal
4095,4095,2832,4095,4095,5.99,-2.51,7.60,0.12,0.82,mal
4095,3169,2726,4001,4095,5.09,-2.70,8.02,0.21,0.70,mal
4095,3086,2595,3583,4095,4.91,-2.52,8.41,-0.01,0.57,mal
3979,2759,2530,3415,4019,4.18,-2.44,8.46,0.15,0.73,mal
3870,2703,2474,3298,3632,3.35,-2.53,9.44,0.18,0.65,mal

4095,4095,3126,4095,3926,1.69,-0.33,0.52,0.22,0.21,mal
4095,4095,3132,4095,4047,9.23,-2.52,4.17,-0.01,0.31,mal
4095,4095,3149,4095,4085,9.01,-2.33,4.61,0.14,0.44,mal
4095,4095,3152,4095,4095,8.65,-2.10,4.80,-0.03,0.20,mal
4095,4095,3163,4095,4095,8.77,-2.59,4.85,0.15,0.26,mal
4095,4095,3197,4095,4095,8.84,-2.19,5.16,0.02,0.32,mal
4095,4095,3221,4095,4095,8.38,-2.70,5.62,0.09,0.22,mal
4095,4095,3197,4095,4095,8.41,-2.76,5.74,0.08,0.25,mal
4095,4095,3185,4095,4095,8.04,-2.59,6.17,0.01,0.23,mal
4095,4095,3213,4095,4095,7.81,-2.52,6.16,0.18,0.23,mal
4095,4095,3234,4095,4095,7.49,-2.83,6.44,0.14,0.36,mal
4095,4095,3215,4095,4095,7.08,-3.01,6.96,0.13,0.21,mal
4095,4095,3151,4095,4095,6.96,-3.14,6.88,0.15,0.21,mal
4095,4095,3053,4095,4095,6.55,-3.05,7.11,0.06,0.45,mal
4095,4095,2971,4095,4095,6.29,-3.05,7.46,0.03,0.35,mal

4095,4095,3190,4095,4095,1.73,-0.44,0.58,0.77,0.32,mal
4095,4095,3215,4095,4095,9.47,-1.89,3.51,0.57,0.29,mal
4095,4095,3221,4095,4095,9.19,-1.58,3.68,0.22,0.28,mal
4095,4095,3231,4095,4095,8.76,-1.79,4.16,0.35,0.28,mal
4095,4095,3244,4095,4095,8.80,-2.30,4.65,0.25,0.42,mal
4095,4095,3229,4095,4095,8.45,-2.29,4.81,0.35,0.53,mal
4095,4095,3179,4095,4095,8.08,-2.80,5.51,0.07,0.53,mal
4095,4095,3110,4095,4095,7.71,-2.44,6.08,0.04,0.44,mal
4095,4095,3042,4095,4095,7.66,-2.79,6.30,0.24,0.46,mal
4095,4095,2883,4095,4095,6.88,-3.08,6.63,0.01,0.65,mal
4095,4095,2800,4095,4095,6.74,-2.40,6.95,-0.12,0.35,mal
4095,4095,2672,4095,4095,6.43,-2.80,7.35,0.11,0.30,mal
4095,3141,2533,3952,4095,6.27,-3.00,7.35,-0.05,0.28,mal
4095,3026,2477,3886,4095,5.93,-3.85,7.96,-0.27,0.33,mal
4095,4095,2430,3850,4095,5.85,-2.93,7.99,-0.11,0.23,mal

4095,4095,3207,4095,3986,1.75,-0.49,0.34,0.18,0.01,mal
4095,4095,3189,4095,4033,10.05,-2.82,2.50,0.40,0.06,mal
4095,4095,3177,4095,4062,9.61,-1.22,1.59,0.47,0.33,mal
4095,4095,3174,4095,4095,9.15,-2.14,2.55,0.11,0.24,mal
4095,4095,3179,4095,4095,8.90,-1.67,2.41,0.21,0.43,mal
4095,4095,3136,4095,4095,9.06,-1.91,3.28,0.26,0.24,mal
4095,4095,3110,4095,4095,9.02,-2.53,3.84,0.18,0.33,mal
4095,4095,3082,4095,4095,8.61,-2.55,4.50,0.16,0.67,mal
4095,4095,3058,4095,4095,8.12,-3.21,5.39,0.15,0.48,mal
4095,4095,3008,4095,4095,7.79,-3.40,5.65,0.09,0.59,mal
4095,4095,2752,4095,4095,7.58,-3.36,6.24,0.06,0.56,mal
4095,4095,2528,4095,4095,7.02,-3.92,6.84,-0.15,0.48,mal
3949,4095,2414,3985,4076,6.59,-3.49,7.08,-0.19,0.46,mal
3583,4095,2352,3843,3455,6.37,-3.44,7.42,-0.05,0.26,mal
3469,2687,2342,3543,2992,6.22,-3.44,7.45,-0.10,0.20,mal

4095,4095,3354,4095,3981,1.69,-0.57,0.77,0.29,0.50,mal
4095,4095,3359,4095,4094,9.36,-2.80,4.50,-0.16,0.25,mal
4095,4095,3373,4095,4037,9.19,-1.77,4.14,0.24,0.13,mal
4095,4095,3354,4095,3997,8.95,-1.72,3.97,0.33,0.16,mal
4095,4095,3382,4095,4063,8.79,-2.45,4.01,0.48,0.30,mal
4095,4095,3328,4095,4095,8.25,-3.08,4.95,0.12,0.30,mal
4095,4095,3280,4095,4095,8.07,-2.66,5.01,0.10,0.37,mal
4095,4095,3213,4095,4095,7.82,-3.03,5.58,0.08,0.31,mal
4095,4095,3134,4095,4095,7.74,-3.00,5.81,0.02,0.24,mal
4095,4095,3063,4095,4095,7.55,-2.96,5.87,-0.06,0.39,mal
4095,4095,2810,4095,4095,7.22,-3.69,6.46,-0.08,0.61,mal
4095,4095,2582,3985,4095,6.88,-3.58,7.25,-0.17,0.24,mal
3696,4095,2471,3490,3571,6.75,-3.17,6.82,-0.04,0.36,mal
3403,2816,2398,3331,2937,6.46,-3.16,7.10,-0.08,0.38,mal
3230,2775,2362,3103,2673,5.97,-3.11,7.52,-0.04,0.39,mal

4095,4095,3161,4095,4095,1.78,-0.44,0.35,-0.03,-0.04,mal
4095,4095,3114,4095,4095,10.00,-2.69,1.95,-0.09,0.07,mal
4095,4095,3120,4095,4095,9.95,-2.63,2.40,0.23,0.16,mal
4095,4095,3134,4095,4095,9.60,-2.69,2.68,0.17,0.13,mal
4095,4095,3183,4095,4095,9.53,-2.11,2.67,0.14,0.41,mal
4095,4095,3175,4095,4042,9.24,-2.52,3.28,0.30,0.27,mal
4095,4095,3222,4095,4086,8.76,-2.39,3.32,0.61,0.31,mal
4095,4095,3232,4095,4095,8.58,-3.12,3.95,0.18,0.39,mal
4095,4095,3187,4095,4095,8.52,-3.10,3.76,0.12,0.41,mal
4095,4095,3200,4095,4095,8.42,-3.43,4.64,0.20,0.63,mal
4095,4095,3178,4095,4095,8.05,-3.59,5.59,0.07,0.55,mal
4095,4095,3121,4095,4095,7.76,-2.92,5.77,-0.05,0.48,mal
4095,4095,3067,4095,4095,7.39,-3.31,5.96,-0.02,0.38,mal
4095,4095,2959,4095,4095,7.20,-3.60,6.26,-0.04,0.51,mal
4095,4095,2837,3859,4095,6.68,-3.70,6.54,-0.19,0.55,mal

4095,4095,3327,4095,4026,1.79,-0.49,0.51,-0.04,0.03,mal
4095,4095,3371,4095,3981,9.85,-2.70,2.38,-0.02,0.07,mal
4095,4095,3375,4095,3824,9.75,-2.91,2.67,0.02,0.46,mal
4095,4095,3408,4095,3761,9.23,-2.74,3.90,0.41,0.57,mal
4095,4095,3392,4095,3849,9.14,-2.80,4.66,-0.12,0.43,mal
4095,4095,3393,4095,3888,9.11,-2.21,4.71,0.18,0.28,mal
4095,4095,3395,4095,4020,8.72,-2.26,4.91,0.40,0.37,mal
4095,4095,3387,4095,4095,7.91,-3.59,5.65,0.69,0.69,mal
