flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,3673,4095,3651,3986,1.72,-0.64,-0.09,0.11,-0.02,te amo
4095,3679,4095,3647,3978,9.35,-4.09,-0.17,0.06,0.22,te amo
4095,3581,4095,3613,3965,9.39,-3.94,0.13,-0.02,-0.22,te amo
4095,3522,4095,3606,3967,9.16,-3.92,-0.22,0.03,0.05,te amo
4095,3522,4095,3600,3959,9.38,-3.97,-0.14,-0.07,-0.05,te amo
4095,3550,4095,3607,3956,9.52,-3.95,-0.01,-0.11,-0.00,te amo
4095,3534,4095,3603,3952,9.28,-3.97,-0.16,0.01,0.05,te amo
4095,3569,4095,3613,3951,9.56,-4.09,0.02,-0.03,-0.11,te amo
4095,3580,4095,3612,3946,9.33,-3.81,-0.24,0.05,0.02,te amo
4095,3671,4095,3664,3962,9.43,-4.20,0.06,-0.02,-0.22,te amo
4095,3703,4095,3664,3965,9.63,-4.21,-0.23,-0.00,0.02,te amo
4095,3691,4095,3667,3955,9.31,-4.28,-0.33,-0.03,0.11,te amo
4095,3695,4095,3680,3952,9.42,-4.06,-0.03,0.01,-0.04,te amo
4095,3691,4095,3711,3943,9.14,-4.19,-0.11,0.10,-0.01,te amo
4095,3698,4095,3699,3941,9.40,-4.59,-0.31,0.01,-0.09,te amo

4095,3957,4095,4095,4059,1.64,-0.89,-0.05,-0.02,0.15,te amo
4095,4011,4095,4095,4069,9.06,-4.84,0.03,0.08,0.16,te amo
4095,4001,4095,4095,4051,8.92,-5.04,0.26,0.03,-0.02,te amo
4095,3983,4095,4095,4047,9.06,-5.20,0.04,-0.08,-0.12,te amo
4095,3979,4095,4095,4050,9.03,-4.87,0.04,-0.06,0.09,te amo
4095,4001,4095,4095,4050,8.77,-4.83,-0.02,-0.07,-0.07,te amo
4095,4003,4095,4095,4048,9.26,-4.97,-0.26,-0.07,-0.09,te amo
4095,3997,4095,4095,4049,9.02,-4.97,-0.11,-0.09,0.08,te amo
4095,4016,4095,4095,4051,8.96,-4.89,-0.17,-0.13,-0.07,te amo
